Y_Ratio	1400	1700	2000	2300	3000	4000	5000	6000
1	4.998931852	4.998931852	4.998931852	4.998931852	4.998931852	4.998931852	4.998931852	4.998931852
1.1	23.42905972	18.13104648	17.26737266	16.86147649	16.45252846	15.87572863	15.83300272	15.70787683
1.4	48.00256355	35.64256722	33.62224189	32.6761681	31.7239906	30.37812433	30.2804651	29.98748741
1.5	95.00412	54.00250252	50.94149602	49.50712607	48.06665242	46.02801599	45.8784753	45.43595691
1.6	100.0030519	75.77135533	61.73284097	61.25675222	60.61891537	57.30460524	51.63426618	51.38096255
1.8	100.0030519	87.31040376	70.5221717	65.77654347	65.84368419	64.29334391	61.95257424	59.61180456
2	100.0030519	98.84945219	81.15787225	73.49772637	69.78972747	68.64528336	71.53538621	67.92504654
2.1	100.0030519	100.0030519	90.79561754	76.48548845	73.2535783	73.2535783	75.93005158	72.85988952
2.2	100.0030519	100.0030519	100.0030519	81.32572405	78.49055452	75.57603687	79.10397656	78.4234138
2.5	100.0030519	100.0030519	100.0030519	88.27173681	82.50679037	81.28604999	82.89742729	80.19348735
2.8	100.0030519	100.0030519	100.0030519	89.27274392	84.2097232	84.08764916	84.65224158	82.69905698
3	100.0030519	100.0030519	100.0030519	91.50364696	88.50367748	86.50471511	91.50364696	85.50675985
3.2	100.0030519	100.0030519	100.0030519	100.0030519	100.0030519	100.0030519	100.0030519	100.0030519
