YAxis_gs	1	1.321429968	1.642860055	1.964290023	2.285710096	2.607140064	2.928570032	3.25
0	0.5500000119	0.474999994	0.4040099978	0.4199999869	0.4469799995	0.3867599964	0.4265399873	0.4310100079
20	0.5194399953	0.6277599931	0.554009974	0.6510199904	0.5234799981	0.4716899991	0.4866200089	0.4794799984
40	0.4558500051	0.6711400151	0.6901000142	0.6764199734	0.5999699831	0.5506899953	0.5450299978	0.5279399753
60	0.4896599948	0.6542800069	0.7235100269	0.708920002	0.6848899722	0.6297600269	0.6034299731	0.5764099956
80	0.5176799893	0.5788400173	0.711310029	0.728219986	0.7197800279	0.6892700195	0.6618400216	0.6248800159
100	0.5394200087	0.5736299753	0.6595100164	0.7137799859	0.7249699831	0.7168400288	0.6983299851	0.6675500274
120	0.5643699765	0.5730100274	0.5984200239	0.6708099842	0.6995099783	0.7055199742	0.6987299919	0.6881899834
140	0.5814300179	0.5676699877	0.5869299769	0.6071500182	0.6259899735	0.6385999918	0.6422100067	0.6441599727
160	0.5230000019	0.5109999776	0.5279999971	0.5460000038	0.5630000234	0.5749999881	0.5780000091	0.5799999833
