TIME;RPM;MAP;Boost Target;Short term trim corr.;Lambda target;Lambda;Air flow;TPS;DBW pos;VE;
0.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.08;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.12;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.16;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
0.32;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.44;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.60;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.72;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.76;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.92;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.96;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.04;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.700;
1.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.700;
1.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.44;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.48;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.68;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.72;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.76;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.88;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.92;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.96;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
2.00;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
2.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.08;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.16;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.20;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.24;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.32;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.44;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.52;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.72;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.76;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.88;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.96;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
3.00;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.08;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
3.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.16;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.32;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.40;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
3.44;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
3.48;0;100;0;100.000;0.920;1.227;0;0;20.000;81.800;
3.52;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.56;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.68;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.72;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.76;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.80;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
3.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
3.96;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.00;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
4.04;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.16;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
4.20;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.24;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
4.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.32;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.36;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
4.40;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.44;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
4.48;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.52;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.64;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
4.68;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.72;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.76;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
4.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
4.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
4.96;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.16;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.20;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.28;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.32;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.36;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.40;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.48;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.52;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.56;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
5.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.68;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.72;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.76;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
5.80;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
5.88;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
5.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
5.96;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.00;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.04;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.08;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
6.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.24;0;100;0;100.000;0.920;1.227;0;0;20.000;81.600;
6.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.32;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
6.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.64;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
6.68;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.72;0;99;0;100.000;0.920;1.227;0;0;20.000;82.000;
6.76;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.80;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
6.84;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
6.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
6.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
6.96;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.04;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
7.08;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.16;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.24;0;100;0;100.000;0.920;1.227;0;0;20.000;81.600;
7.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.36;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
7.40;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.44;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.48;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.52;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
7.56;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.68;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.72;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
7.76;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.80;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.88;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
7.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
7.96;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
8.00;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.08;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
8.12;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.16;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
8.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.32;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
8.52;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.60;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
8.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.72;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.76;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.80;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
8.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.92;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
8.96;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.00;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
9.04;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.16;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.20;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.24;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.44;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.48;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.52;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
9.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.68;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.72;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.76;0;99;0;100.000;0.920;1.227;0;0;20.000;81.800;
9.80;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
9.84;0;100;0;100.000;0.920;1.227;0;0;20.000;81.600;
9.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
9.92;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
9.96;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.20;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.24;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.28;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.32;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.40;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.48;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
10.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.64;0;100;0;100.000;0.920;1.227;0;0;20.000;81.600;
10.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.72;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.76;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.80;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
10.88;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
10.92;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
10.96;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.00;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.12;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
11.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.24;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
11.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
11.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.52;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.56;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.60;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.72;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
11.76;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.80;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
11.84;0;100;0;100.000;0.920;1.227;0;0;20.000;81.800;
11.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
11.96;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
12.00;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
12.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.08;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.16;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
12.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.24;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.28;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
12.32;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
12.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.44;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
12.48;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
12.52;0;100;0;100.000;0.920;1.227;0;0;20.000;82.000;
12.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.72;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.76;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.80;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.92;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
12.96;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.00;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
13.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.12;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
13.16;0;100;0;100.000;0.920;1.227;0;0;20.000;81.800;
13.20;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
13.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.28;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
13.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.48;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
13.52;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
13.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
13.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.72;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.76;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.80;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
13.84;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
13.92;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
13.96;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
14.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.04;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.32;0;99;0;100.000;0.920;1.227;0;0;20.000;81.600;
14.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.44;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.48;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
14.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
14.56;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.60;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.64;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.68;0;98;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.72;0;98;0;100.000;0.920;1.227;0;0;19.500;81.400;
14.76;0;98;0;100.000;0.920;1.227;0;0;19.500;81.200;
14.80;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
14.84;0;95;0;100.000;0.930;1.227;0;0;19.500;80.500;
14.88;0;96;0;100.000;0.930;1.227;0;0;19.500;80.200;
14.92;0;97;0;100.000;0.930;1.227;0;0;19.500;81.200;
14.96;271;94;0;100.000;0.920;1.227;0;0;19.500;79.800;
15.00;271;96;0;100.000;0.920;1.227;0;0;19.500;80.500;
15.04;271;98;0;100.000;0.920;1.227;0;0;19.500;81.200;
15.08;271;93;0;100.000;0.920;1.227;0;0;19.500;79.800;
15.12;271;97;0;100.000;0.930;1.227;0;0;19.500;80.500;
15.16;312;93;0;100.000;0.920;1.227;0;0;19.500;79.800;
15.20;312;97;0;100.000;0.930;1.227;0;0;19.500;80.500;
15.24;312;93;0;100.000;0.930;1.227;0;0;19.500;79.800;
15.28;312;95;0;100.000;0.930;1.227;0;0;19.500;80.200;
15.32;312;97;0;100.000;0.930;1.227;0;0;19.500;80.500;
15.36;318;93;0;100.000;0.930;1.227;0;0;6.500;79.400;
15.40;318;96;0;100.000;0.930;1.227;0;0;0.000;80.500;
15.44;318;90;0;100.000;0.930;1.227;0;0;0.000;78.700;
15.48;318;91;0;100.000;0.940;1.219;0;0;0.500;78.700;
15.52;321;89;0;100.000;0.940;1.227;0;0;0.500;77.800;
15.56;324;86;0;100.000;0.940;1.227;0;0;0.500;77.000;
15.60;324;90;0;100.000;0.940;1.227;0;0;1.500;77.900;
15.64;324;84;0;100.000;0.940;1.227;0;0;1.000;76.100;
15.68;324;88;0;100.000;0.940;1.227;0;0;1.000;77.400;
15.72;329;83;0;100.000;0.940;1.227;0;0;1.000;75.100;
15.76;329;88;0;100.000;0.940;1.227;0;0;1.000;77.000;
15.80;329;85;0;100.000;0.940;1.227;0;0;1.000;76.100;
15.84;329;82;0;100.000;0.940;1.227;0;0;1.000;75.100;
15.88;329;87;0;100.000;0.940;1.227;0;0;1.500;77.000;
